channel,unionname,org,name of the channel if differs from unionname,country
hotell-ochrestaurangfacket9589,hotell- och restaurangfacket,LO,Hotell- och Restaurangfacket avd02,sweden
ifmetallboras7634,industrifacket metall,LO,IF Metall Borås,sweden
ifmetallgoteborg,industrifacket metall,LO,IF Metall Göteborg 2008,sweden
Industrifacketmetall,industrifacket metall,LO,,sweden
Industrifacketmetall,industrifacket metall,LO,,sweden
rullarrk,industrifacket metall,LO,,sweden
Journalistforbundet,journalistförbundet,TCO,,sweden
SvenskaJournalisten,journalistförbundet,TCO,tidningen journalisten,sweden
Boost2013,jusek,Saco,Boost13,sweden
JusekTV,jusek,Saco,,sweden
facket_kommunal,kommunalarbetareförbundet,LO,Kommunal,sweden
Kommunalarbetaren,kommunalarbetareförbundet,LO,,sweden
valjvalfarden7634,kommunalarbetareförbundet,LO,Välj Välfärden,sweden
Livsmedelsarbetare,Livsmedelsarbetareförbundet Sverige,LO,,sweden
livsmedelsarbetareforsolid3658,Livsmedelsarbetareförbundet Sverige,LO,Livsmedelsarbetare för Solidaritet,sweden
losverige,lo,LO,,sweden
TidningenArbetet,lo,LO,,sweden
Lararforbundet,lärarförbundet,TCO,,sweden
lararforbundethalmstad4100,lärarförbundet,TCO,Lärarförbundet Halmstad,sweden
lararforbundetkarlskrona590,lärarförbundet,TCO,lärarförbundet karlskrona,sweden
lararforbundetkarlstad1297,lärarförbundet,TCO,lararforbundetkarlstad,sweden
lararforbundetkarlstad1297,lärarförbundet,TCO,lärarförbundet karlstad,sweden
lararforbundetkarlstad285,lärarförbundet,TCO,lararforbundetkarlstad,sweden
lararforbundetkungalv6704,lärarförbundet,TCO,lärarförbundet kungälv,sweden
lararforbundetkungsbacka9217,lärarförbundet,TCO,lärarförbundet kungsbacka,sweden
lararforbundetornskoldsvik5724,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden
lararforbundetornskoldsvik8180,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden
lararforbundetstockholm2373,lärarförbundet,TCO,lärarförbundet stockholm,sweden
lararforbundetsundsvall1490,lärarförbundet,TCO,lärarförbundet sundsvall,sweden
milla79larare,lärarförbundet,TCO,lärarförbundet Västerås,sweden
studiolararforbundetstuden2879,lärarförbundet,TCO,studio lärarförbundet student,sweden
LararnasRiksforbund_LR,lärarnas riksförbund,Saco,,sweden
Skolvarlden,lärarnas riksförbund,Saco,Skolvarlden,sweden
Musikerforbundet,musikerförbundet,LO,,sweden
malareforbundet,målareförbundet,LO,Målarna,sweden
naturvetarna1928,naturvetarna,Saco,,sweden
pappers1281,pappers,LO,,sweden
Polisforbundet,polisförbundet,TCO,,sweden
PluggavidaremedSaco,saco,Saco,Plugga vidare,sweden
SacoPlay,Saco,Saco,,sweden
saco-forbundettrafikochjar2589,Saco-förbundet Trafik och Järnväg,Saco,,sweden
fackforbundetscenfilm1674,Fackförbundet Scen & Film,TCO,,sweden
sekosparfel3760,seko,LO,seko spårfel,sweden
sverigesarkitekter9502,Sveriges Arkitekter,Saco,,sweden
Sverigesingenjorer,sveriges ingenjörer,Saco,,sweden
sverigesingenjorerdistrikn5213,sveriges ingenjörer,Saco,Sveriges Ingenjörer Distrik Norr,sweden
Teknologvalet,sveriges ingenjörer,Saco,Teknologgruppen Sveriges Ingenjörer,sweden
lakarforbundet1,sveriges läkarförbund,Saco,,sweden
sverigespsykologforbund1867,sveriges psykologförbund,Saco,,sweden
sverigespsykologforbund3762,sveriges psykologförbund,Saco,,sweden
Skolledarforbundet,sveriges skolledarförbund,Saco,,sweden
sverigestandlakarforbund6025,sveriges tandläkarförbund,Saco,,sweden
TCOSverige,tco,TCO,TCO Sverige,sweden
Transportfacket,transportarbetareförbundet,LO,Transportfacket,sweden
tidningenkollega2125,unionen,TCO,tidningen kollega,sweden
UnionenTV,unionen,TCO,,sweden
unionenklubbenpahp4534,unionen,TCO,unionen klubben på hp,sweden
UnionenSjuHall,unionen,TCO,unionen sjuhall,sweden
unionenstudent,unionen,TCO,unionen student,sweden
unionensydvast2682,unionen,TCO,unionen sydväst,sweden
unionensydvast2180,unionen,TCO,unionen sydvast,sweden
studentivision,vision,TCO,studentivision,sweden
tidningenvision,vision,TCO,tidningen vision,sweden
visionlandstingsavdelninge2720,vision,TCO,vision landstingsavdelningen värmland,sweden
visionstockholmsstad8384,vision,TCO,vision stockholms stad,sweden
visiongoteborg,vision,TCO,visiongoteborg,sweden
visionkanalen,vision,TCO,,sweden
VisionNorrkoping,vision,TCO,visionnorrkoping,sweden
Visionscenter,vision,TCO,Visionscenter,sweden
vardforbundet1,vårdförbundet,TCO,,sweden
Syndikalisterna,SAC Syndikalisterna,SAC,,sweden
akademikerforbundet35,Akademikerforbundet,Unio,,norway
akademikerne802,Akademikerne,Akademikerne,,norway
arbeiderbevegelsenspressef193,Arbeiderbevegelsens Presseforbund,LO Norge,,norway
creoforbundetforkunstogkul5297,Creo,LO Norge,,norway
delta-enarbeidstakerorgani8787,Delta,YS,,norway
Legeforeningen,Den norske legeforening,Akademikerne,,norway
dennorsketannlegeforening4791,Den norske tannlegeforening,Akademikerne,,norway
dennorskeveterinrforening1311,Den norske veterinærforening,Akademikerne,,norway
detnorskemaskinistforbund2350,Det norske maskinistforbund,Unio,,norway
econahioahioa3397,Econa,Akademikerne,,norway
EconaTV,Econa,Akademikerne,,norway
elogitforbundet3053,EL og IT Forbundet,LO Norge,,norway
fagforbundet3762,Fagforbundet,LO Norge,,norway
fellesforbundet4310,Fellesforbundet,LO Norge,,norway
fellesungdom,Fellesforbundet,LO Norge,fellesungdom,norway
fellesorganisasjonenfo1764,Fellesorganisasjonen (FO),LO Norge,,norway
finansforbundet1,Finansforbundet ,YS,,norway
forbundetforledelseogtekni9092,Forbundet for Ledelse og Teknikk,LO Norge,,norway
forfatterforbundet,Forfatterforbundet,LO Norge,,norway
ForskerforbundetOslo,Forskerforbundet,Unio,,norway
forskerforbundetuio1352,Forskerforbundet,Unio,,norway
hkinorge2871,Handel og Kontor i Norge (HK),LO Norge,,norway
hovedorganisasjonenunio8488,Hovedorganisasjonen for universitets- og høyskoleutdannede (Unio),Unio,,norway
industriEnergi,Industri Energi (IE),LO Norge,,norway
Juristforbundet,Juristforbundet,Akademikerne,,norway
KOL1909/featured,Krigsskoleutdannede offiserers landsforening,Akademikerne,,norway
kriminalomsorgensyrkesforb8157,Kriminalomsorgens Yrkesforbund ,YS,,norway
lonorge,LO Norge,LO Norge,,norway
naturviterne,Naturviterne,Akademikerne,,norway
NegotiaEtYSForbund,Negotia,YS,,norway
norgesoffisers-ogspesialis5330,Norges offisers- og spesialistforbund,LO Norge,,norway
norskarbeidsmandsforbund6598,Norsk Arbeidsmandsforbund,LO Norge,,norway
norskergoterapeutforbund1616,Norsk Ergoterapeutforbund,Unio,,norway
norskfengsels-ogfriomsorgs1163,Norsk Fengsels- og Friomsorgsforbund,LO Norge,,norway
norskfengsels-ogfriomsorgs8309,Norsk Fengsels- og Friomsorgsforbund,LO Norge,,norway
norskflygerforbund6598,Norsk Flygerforbund,LO Norge,,norway
norskfysio2444,Norsk Fysioterapeutforbund,Unio,,norway
norskjernbaneforbund,Norsk Jernbaneforbund,LO Norge,,norway
norskjernbaneforbund8318,Norsk Jernbaneforbund,LO Norge,,norway
norsklektorlag4789,Norsk Lektorlag,Akademikerne,,norway
norskmanuellterapeutforeni110,Norsk Manuellterapeutforening,LO Norge,,norway
nnnforbundet4344,Norsk Nærings- og Nytelsesmiddelarbeiderforbund (NNN),LO Norge,,norway
norskpsykologforening6994,Norsk psykologforening,Akademikerne,,norway
radiografforbundet,Norsk Radiografforbund,Unio,,norway
Sjomannsforbundet,Norsk Sjømannsforbund (NSF),LO Norge,,norway
norsksjoffisersforbund1115,Norsk Sjøoffisersforbund (NSOF),LO Norge,,norway
Sykepleierforbundet,Norsk Sykepleierforbund,Unio,,norway
norsktannpleierforening3461,Norsk Tannpleierforening,Unio,,norway
ntlwebtv,Norsk Tjenestemannslag,LO Norge,,norway
NorskTollerforbundOslo/featured,Norsk Tollerforbund,YS,,norway
parat_ys,Parat,YS,,norway
politietsfellesforbund7352,Politiets Fellesforbund,Unio,,norway
safefagforbund8928,SAFE,YS,,norway
Samfunnsviterne,Samfunnsviterne,Akademikerne,,norway
samfunnsviterne1060,Samfunnsviterne,Akademikerne,,norway
samfunnskonomene8172,Samfunnsøkonomene,Akademikerne,,norway
